country_code,uuid,age,gender,rural,dem_education_level,dem_full_time_job,dem_has_children,question_bbi_2016wave4_basicincome_awareness,question_bbi_2016wave4_basicincome_vote,question_bbi_2016wave4_basicincome_effect,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_argumentsagainst,age_group,weight
AT,9b532680-dc7d-0133-dcb5-0a81e8b09a82,47,male,rural,low,yes,yes,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,40_65,1.105.534.474
AT,0a8ed740-de42-0133-f3a6-0a81e8b09a82,33,male,urban,high,no,yes,I know something about it,I would probably vote for it,‰Û_ gain additional skills,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward,26_39,0.977591916
AT,8d6c0630-dc17-0133-c863-0a81e8b09a82,64,female,rural,low,no,yes,I have heard just a little about it,I would probably vote against it,None of the above,None of the above,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state,40_65,4.234.752.669
AT,1c4a0200-da22-0133-e797-0a81e8b09a82,26,male,urban,medium,no,no,I have heard just a little about it,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,26_39,0.977591916
AT,896c8bd0-dcc3-0133-f1c3-0a81e8b09a82,38,female,rural,low,yes,no,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,26_39,0.688873084
AT,db1bf110-d8d7-0133-8ee6-0a81e8b09a82,35,female,rural,high,no,yes,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It increases dependence on the state,26_39,0.688873084
AT,5441c1d0-d9a6-0133-55bc-0a81e8b09a82,55,male,urban,high,yes,no,I know something about it,I would vote against it,‰Û_ work less,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward,40_65,1.533.248.826
AT,a332d3f0-d8c9-0133-a2e5-0a81e8b09a82,41,male,rural,low,no,no,I know something about it,I would not vote,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,40_65,1.105.534.474
AT,581cec00-da3e-0133-cc6b-0a81e8b09a82,26,male,urban,high,yes,no,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | It might encourage people to stop working,26_39,0.977591916
AT,cf24ed60-da3f-0133-0034-0a81e8b09a82,48,female,rural,high,yes,no,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above,40_65,4.234.752.669
AT,03d9e160-da33-0133-b694-0a81e8b09a82,40,male,urban,medium,yes,yes,I understand it fully,I would vote against it,None of the above,None of the above,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state,40_65,1.533.248.826
AT,c8ab8660-daf3-0133-b467-0a81e8b09a82,64,male,urban,medium,no,yes,I understand it fully,I would probably vote for it,‰Û_ work less,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,40_65,1.533.248.826
AT,5fb8d530-d8c5-0133-bfb5-0a81e8b09a82,24,male,urban,high,no,no,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,14_25,0.93711515
AT,3f32d3c0-dbd5-0133-e559-0a81e8b09a82,15,female,rural,low,no,no,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working,14_25,0.751226717
AT,c76aa3e0-dbf6-0133-0d62-0a81e8b09a82,49,male,rural,NA,yes,yes,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It encourages financial independence and self-responsibility,It is impossible to finance,40_65,1.105.534.474
AT,2fe1bc10-d8e2-0133-b57f-0a81e8b09a82,23,male,rural,low,yes,no,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,14_25,0.675697961
AT,4cd8dfe0-d9a7-0133-5a1b-0a81e8b09a82,36,male,urban,medium,no,no,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,26_39,0.977591916
AT,d4ac22b0-dd5d-0133-dd11-0a81e8b09a82,46,female,rural,NA,no,yes,I know something about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,40_65,4.234.752.669
AT,8c014b80-da49-0133-fd69-0a81e8b09a82,27,male,rural,low,no,no,I understand it fully,I would vote for it,‰Û_ work less,It creates more equality of opportunity,It might encourage people to stop working,26_39,0.704883347
AT,0e383540-dad5-0133-3be7-0a81e8b09a82,26,male,urban,NA,no,no,I have heard just a little about it,I would vote for it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It might encourage people to stop working,26_39,0.977591916
AT,e75d0b00-d9b1-0133-043b-0a81e8b09a82,18,male,rural,medium,yes,no,I have heard just a little about it,I would vote against it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit,14_25,0.675697961
AT,9cd06680-da89-0133-519f-0a81e8b09a82,28,female,urban,low,yes,no,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,26_39,0.955387527
AT,b3fc91b0-db3a-0133-505a-0a81e8b09a82,35,female,rural,high,no,yes,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,26_39,0.688873084
AT,2eea8620-dbeb-0133-3910-0a81e8b09a82,44,female,rural,low,yes,yes,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working,40_65,4.234.752.669
AT,b8616bf0-dd85-0133-dabb-0a81e8b09a82,25,female,rural,low,yes,no,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state,14_25,0.751226717
AT,50e1e660-de3a-0133-589e-0a81e8b09a82,15,male,urban,NA,no,no,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,14_25,0.93711515
AT,66867d70-de2e-0133-fd0b-0a81e8b09a82,20,male,urban,low,no,no,I know something about it,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working,14_25,0.93711515
AT,9567fd10-da36-0133-f91e-0a81e8b09a82,47,female,urban,no,no,yes,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance,40_65,58.731.136
AT,e55a9780-d98f-0133-f7be-0a81e8b09a82,25,female,urban,medium,no,no,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | It is impossible to finance,14_25,1.041.864.825
AT,5eaadd90-da5a-0133-3d70-0a81e8b09a82,65,female,rural,high,yes,yes,I understand it fully,I would probably vote for it,‰Û_ do more volunteering work,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state,40_65,4.234.752.669
AT,ca3f65f0-d92b-0133-3959-0a81e8b09a82,46,male,rural,medium,yes,yes,I know something about it,I would vote against it,None of the above,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working,40_65,1.105.534.474
AT,c8394f00-d9f4-0133-fe97-0a81e8b09a82,17,male,urban,low,no,no,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward,14_25,0.93711515
AT,dade6cd0-d9ff-0133-f2d6-0a81e8b09a82,21,male,urban,medium,yes,no,I understand it fully,I would vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,14_25,0.93711515
AT,437716a0-da35-0133-f2f5-0a81e8b09a82,52,male,urban,low,yes,yes,I know something about it,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,40_65,1.533.248.826
AT,8cc018b0-de4b-0133-0bcd-0a81e8b09a82,26,male,urban,high,yes,no,I understand it fully,I would probably vote for it,‰Û_ do more volunteering work,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working,26_39,0.977591916
AT,7c2e43a0-da1a-0133-acda-0a81e8b09a82,14,male,urban,low,no,no,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,14_25,0.93711515
AT,b9dbcc80-da2b-0133-481e-0a81e8b09a82,20,female,urban,medium,no,no,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,14_25,1.041.864.825
AT,89977480-d9bc-0133-b906-0a81e8b09a82,27,male,urban,no,yes,yes,I know something about it,I would probably vote for it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward,26_39,0.977591916
AT,11cf6080-dc70-0133-8090-0a81e8b09a82,50,male,urban,medium,yes,yes,I have heard just a little about it,I would probably vote against it,‰Û_ work less,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward,40_65,1.533.248.826
AT,6aa21d60-deec-0133-20b3-0a81e8b09a82,20,male,urban,NA,no,no,I understand it fully,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,14_25,0.93711515
AT,08159f30-dbf8-0133-74d8-0a81e8b09a82,34,female,urban,low,yes,yes,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,26_39,0.955387527
AT,5f772780-dd7d-0133-5e86-0a81e8b09a82,19,female,urban,high,no,no,I have heard just a little about it,I would probably vote against it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,14_25,1.041.864.825
AT,996a7cf0-d98b-0133-a5d7-0a81e8b09a82,18,female,rural,high,no,no,I have heard just a little about it,I would probably vote against it,‰Û_ look for a different job,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,14_25,0.751226717
AT,88d64de0-d9eb-0133-a46b-0a81e8b09a82,38,female,rural,low,no,yes,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit,26_39,0.688873084
AT,d2a9a650-d964-0133-4678-0a81e8b09a82,28,female,urban,medium,yes,yes,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | It is against the principle of linking merit and reward,26_39,0.955387527
AT,7a3932b0-da34-0133-8caf-0a81e8b09a82,26,female,urban,high,no,no,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,26_39,0.955387527
AT,54fcb0f0-da1c-0133-efb9-0a81e8b09a82,46,male,rural,low,yes,yes,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit,40_65,1.105.534.474
AT,c7ec06f0-d94c-0133-0451-0a81e8b09a82,41,male,urban,low,yes,no,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone",It increases dependence on the state,40_65,1.533.248.826
AT,1ab814f0-dba0-0133-a033-0a81e8b09a82,43,male,rural,no,yes,yes,I know something about it,I would vote for it,‰Û_ gain additional skills,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,40_65,1.105.534.474
AT,994969a0-dca5-0133-b593-0a81e8b09a82,26,female,rural,low,no,yes,I understand it fully,I would vote for it,‰Û_ look for a different job,It creates more equality of opportunity,Only the people who need it most should get something from the state,26_39,0.688873084
AT,5f4a8e40-dbd4-0133-e162-0a81e8b09a82,29,female,urban,high,yes,yes,I understand it fully,I would not vote,‰Û_ gain additional skills,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,26_39,0.955387527
AT,fc590270-de6a-0133-72af-0a81e8b09a82,17,male,rural,low,no,no,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,14_25,0.675697961
AT,2152fc80-d9ae-0133-8d7e-0a81e8b09a82,23,female,urban,medium,no,yes,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,14_25,1.041.864.825
AT,1d39d3e0-dbb6-0133-4ab6-0a81e8b09a82,36,female,rural,medium,yes,yes,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,26_39,0.688873084
AT,51f5c5c0-de40-0133-1e9a-0a81e8b09a82,34,female,urban,low,yes,yes,I know something about it,I would vote for it,‰Û_ gain additional skills,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,26_39,0.955387527
AT,18a82df0-d8ec-0133-a131-0a81e8b09a82,27,male,rural,high,yes,no,I know something about it,I would vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward,26_39,0.704883347
AT,eef7cc30-de4e-0133-1438-0a81e8b09a82,15,male,rural,low,yes,no,I know something about it,I would probably vote against it,‰Û_ gain additional skills,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,14_25,0.675697961
AT,296e4480-d8e9-0133-c3ad-0a81e8b09a82,14,male,urban,NA,no,no,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,14_25,0.93711515
